c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
2,1,4,0.85,23,8,0.95784,28.089,1252.2,16272,0.32318,0.10536,0.58947,10.652,10354,3.1774e+10,0.029621,0.042975,76.728,29.941,12.816,107.73,4.3476,4.8667e-05,16165
2,1,5,1.01,11.5,8,0.55494,16.979,722.32,9081.9,0.26042,0.079059,0.17919,5.0783,3118.2,1.2275e+10,0.019669,0.026016,64.841,23.719,8.5294,84.639,1.5841,4.1949e-05,6983.3
2,1,6,1.23,14.1,8,0.3635,10.655,473.56,5771.4,0.21017,0.0668,0.081111,2.4429,1436,6.3324e+09,0.013434,0.021064,55.752,20.099,6.8843,69.745,0.77633,3.5238e-05,3942.5
2,2,2,0.565,135,8,3.2046,80.232,4261.1,50591,0.68283,0.24167,5.9134,54.907,1.0892e+05,2.0868e+11,0.087918,0.14316,127.28,59.521,36.56,225.3,24.068,0.00010511,90168
2,2,3,0.642,84.7,8,2.0373,49.728,2694.5,34080,0.49462,0.17824,2.7466,26.597,51437,1.1395e+11,0.057245,0.095084,100.12,44.399,24.582,169.5,13.394,7.3512e-05,51101
2,2,4,0.836,45.1,8,0.94531,25.763,1239.4,15925,0.32393,0.10622,0.54456,9.8712,10470,3.0823e+10,0.02917,0.042826,74.198,29.151,12.71,105.93,4.0498,5.1581e-05,16428
2,2,5,1.02,45.5,8,0.57659,16.134,744.69,10429,0.25583,0.081037,0.22199,4.714,4078,1.5204e+10,0.019304,0.02927,62.36,23.347,8.846,87.972,1.7344,3.9886e-05,7855.4
2,2,6,1.21,44.8,8,0.39645,10.573,514.31,6951,0.21718,0.066756,0.10279,2.3309,1835.6,7.949e+09,0.014314,0.021883,55.959,20.219,7.0046,70.562,0.88763,3.6213e-05,4583.1
2,2,7,1.4,29.7,8,0.32183,9.3728,422.1,5294.8,0.20574,0.070977,0.065735,1.9529,1142.5,5.6107e+09,0.012496,0.024179,54.768,20.229,7.1023,67.787,0.58017,3.4939e-05,3238
2,3,2,0.583,76.2,8,3.3801,54.048,4624.8,55841,0.83458,0.25726,6.674,28.461,1.4378e+05,2.6689e+11,0.14212,0.16408,115.58,59.015,35.683,304.66,20.366,0.00010666,1.2747e+05
2,3,3,0.695,40.3,8,2.2441,36.419,3033,36533,0.6548,0.20128,3.0216,15.166,62767,1.3408e+11,0.10096,0.11422,97.491,46.56,25.666,239.46,11.157,8.3418e-05,68403
2,3,4,0.872,78.7,8,1.1199,22.003,1495.1,17410,0.4451,0.13113,0.7407,6.9312,15076,3.7463e+10,0.055739,0.061629,77.909,32.813,15.093,167.43,3.8099,5.739e-05,24051
2,3,5,1.03,15.6,8,0.64659,13.087,863.04,10639,0.33675,0.090186,0.25923,3.1215,5050.8,1.7303e+10,0.035138,0.035365,61.841,24.138,9.8268,117.42,1.5866,4.7178e-05,10838
2,3,6,1.22,0.115,8,0.42734,8.7883,575.54,7730.4,0.27994,0.074245,0.11278,1.7801,2227.1,1.0163e+10,0.025924,0.027016,52.807,20.108,7.703,97.687,0.78143,4.0435e-05,6025.2
2,3,7,1.39,25,8,0.37122,7.4195,493.56,5885.5,0.26911,0.078308,0.081115,1.3737,1526.3,6.7739e+09,0.024086,0.028942,52.454,20.3,7.7889,99.432,0.56976,3.7572e-05,4590.1
2,4,2,0.632,44.7,8,2.3122,55.117,3061.4,36755,0.57878,0.20668,3.2183,30.83,60796,1.2424e+11,0.069236,0.11536,107.74,49.206,28.028,202.8,15.217,8.4139e-05,62102
2,4,3,0.711,35.2,8,1.7602,42.846,2326.5,28053,0.49942,0.17274,1.8575,20.879,35522,8.2749e+10,0.05401,0.084005,97.187,42.051,21.87,171.37,9.9679,7.4167e-05,41916
