c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumumber
4,2,6,1.23,24.4,8,1.1562,24.279,1463,19098,0.39749,0.11149,33.039
4,2,7,1.37,46.8,8,0.9394,20.497,1193.8,13961,0.36212,0.10677,31.659
4,3,2,0.612,119,8,9.2778,117.47,11966,1.3282e+05,1.5779,0.38679,92.634
4,3,3,0.679,70.4,8,6.6858,82.792,8612.1,91951,1.2681,0.31646,75.607
4,3,4,0.871,64.6,8,3.4524,45.584,4438.6,48382,0.88971,0.22461,55.287
4,3,5,1.06,40.8,8,1.959,27.059,2515,30369,0.67841,0.1605,42.823
4,3,6,1.25,21.8,8,1.3242,19.361,1695.1,19277,0.58218,0.13477,37.724
4,3,7,1.38,18.5,8,1.0693,15.173,1369.2,17042,0.54249,0.12669,36.191
4,4,2,0.604,130,8,9.9514,166.33,12762,1.3609e+05,1.448,0.40572,101.46
4,4,3,0.724,26,8,5.3046,96.325,6754,76229,0.93413,0.27563,68.674
4,4,4,0.878,2.65,8,3.0078,60.265,3810.4,40633,0.67076,0.20038,52.842
4,4,5,1.09,2.4,8,1.6814,33.881,2126.7,25046,0.50971,0.14084,40.311
4,4,6,1.27,4.19,8,1.123,22.797,1419.8,18147,0.41124,0.11034,33.384
4,4,7,1.44,0.623,8,0.85432,17.506,1081.6,13385,0.365,0.098798,30.742
4,5,2,0.676,146,8,7.9928,109.57,10284,1.1781e+05,1.3922,0.37197,90.541
4,5,3,0.727,115,8,6.9161,95.742,8891.9,94896,1.2291,0.33236,80.198
4,5,4,0.908,43.8,8,3.0245,46.777,3873.2,40500,0.71402,0.20177,50.763
4,5,5,1.07,44.3,8,1.9151,30.525,2438,28731,0.61258,0.15694,42.787
4,5,6,1.24,38.9,8,1.2355,21.469,1565.2,18905,0.50174,0.12749,36.799
4,5,7,1.41,24.3,8,0.91326,17.116,1159.3,15297,0.42573,0.11726,33.728
4,6,2,0.603,122,8,7.8996,139.38,10163,1.1705e+05,1.2722,0.34298,86.039
4,6,3,0.692,71.7,8,6.2892,110.73,8073.6,87801,1.0775,0.30574,75.622
4,6,4,0.843,21.6,8,3.1979,58.554,4072,46753,0.72458,0.20693,53.832
4,6,5,1,22.1,8,2.1726,37.891,2745.3,30819,0.63795,0.17468,47.555
4,6,6,1.16,21.7,8,1.5382,28.712,1959.6,22508,0.53428,0.14484,41.496
