c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
2,8,5,0.999,55,8,0.653,14.443,838.83,10529,0.19213,0.0549,0.35359,3.6478,6221.6,1.6591e+10,0.017075,0.019892,24.833,10.996,7.0475,71.697,2.447,2.7888e-05,10144
2,8,6,1.14,24.1,8,0.4822,10.512,617.94,7355.9,0.17076,0.045042,0.17771,2.1374,3139.6,9.5097e+09,0.013084,0.013541,24.16,9.7575,5.3898,63.496,1.4197,2.5788e-05,6465.7
3,1,2,0.611,65.8,8,3.6064,97.858,4633.3,58350,0.45529,0.14079,9.7725,94.17,1.6782e+05,2.9322e+11,0.083386,0.090497,41.459,26.948,27.206,167.22,24.668,6.1155e-05,1.2268e+05
3,1,3,0.702,54.4,8,2.6477,71.942,3385.3,44148,0.3796,0.1147,5.5205,60.678,94534,1.9384e+11,0.06262,0.067526,35.855,21.421,19.71,140.62,15.113,5.205e-05,79559
3,1,4,0.842,33.3,8,1.7838,49.346,2272.8,29504,0.3108,0.089994,2.5345,34.599,43358,1.0744e+11,0.043849,0.045033,31.609,16.68,13.438,115.18,7.8801,4.4722e-05,44824
3,1,5,1.04,31.5,8,1.1764,32.781,1495.9,19380,0.25099,0.068422,1.1124,18.937,19025,5.7094e+10,0.030237,0.027793,27.956,13.094,9.0828,92.658,4.0954,3.7637e-05,24538
3,1,6,1.19,26.1,8,0.90128,24.777,1143.8,14555,0.21662,0.056424,0.67351,12.464,11549,3.7808e+10,0.023832,0.020451,25.637,11.249,7.0847,79.824,2.7171,3.3191e-05,17134
3,1,7,1.43,2.6,8,0.63033,17.452,800.41,10430,0.18387,0.04459,0.32062,7.41,5498.6,2.2498e+10,0.017504,0.013149,23.824,9.5861,5.2446,67.713,1.5693,2.9211e-05,10014
3,2,2,0.574,174,8,4.577,117.17,5965.3,78472,0.53965,0.16789,14.828,119.27,2.6015e+05,4.551e+11,0.10134,0.11632,47.824,33.117,35.09,195.22,35.717,8.2395e-05,1.6894e+05
3,2,3,0.65,121,8,3.1582,78.27,4070.1,53332,0.4212,0.12836,7.7838,67.136,1.3666e+05,2.7009e+11,0.070899,0.079216,38.108,23.994,23.22,154.85,19.246,5.8057e-05,1.0466e+05
3,2,4,0.848,59.5,8,1.8772,47.37,2404,32061,0.32191,0.093665,2.7897,31.647,48840,1.2434e+11,0.043654,0.047285,32.008,17.114,13.96,119.05,8.1782,4.652e-05,48786
3,2,5,0.991,70.8,8,1.3322,33.657,1701.1,21628,0.27147,0.074851,1.3943,18.772,24324,6.9117e+10,0.032096,0.031539,29.174,14.022,10.049,100.13,4.6482,4.0737e-05,29582
3,2,6,1.17,42.5,8,0.92781,23.416,1183.3,15123,0.22495,0.058383,0.68343,11.033,11907,4.0643e+10,0.023201,0.020496,26.31,11.527,7.2685,82.592,2.6791,3.4687e-05,17543
3,2,7,1.38,29.7,8,0.72914,18.358,929.98,12655,0.1995,0.049135,0.42108,7.6638,7360.8,3.0497e+10,0.018693,0.015091,24.627,10.172,5.8606,73.27,1.871,3.1343e-05,12416
3,3,2,0.577,147,8,4.609,77.671,6080.8,76804,0.61588,0.16426,15.23,56.643,3.0751e+05,4.7143e+11,0.15148,0.12196,42.382,31.349,31.016,228.19,27.255,6.8887e-05,2.2032e+05
3,3,3,0.69,67.6,8,3.2016,53.578,4216.1,52777,0.52411,0.1359,7.2052,31.89,1.4458e+05,2.6915e+11,0.11319,0.087384,37.359,24.577,21.951,196.97,14.549,6.0632e-05,1.2786e+05
3,3,4,0.876,29.8,8,2.0843,35.474,2738.8,32964,0.426,0.10712,3.0418,17.054,60812,1.3131e+11,0.078786,0.057704,33.006,18.984,14.995,161.86,7.1058,5.1561e-05,68008
3,3,5,1.07,38.6,8,1.2901,21.989,1691.9,21137,0.3297,0.077935,1.2428,8.6047,24858,6.8419e+10,0.052726,0.034785,27.667,14.101,9.7921,125.42,3.443,4.1116e-05,35190
3,3,6,1.25,5.01,8,0.95749,16.27,1255.1,15328,0.29134,0.064684,0.66061,5.4042,13214,4.1839e+10,0.041935,0.024977,26.094,12.156,7.6401,111.9,2.1482,3.7061e-05,22553
3,3,7,1.43,3.8,8,0.78351,13.337,1027.2,12290,0.27103,0.057587,0.4262,3.9596,8542.1,2.9834e+10,0.03597,0.019858,25.507,11.212,6.4954,104.57,1.5692,3.4952e-05,16572
3,4,2,0.629,28.4,8,3.201,80.407,4121.7,54444,0.42086,0.12945,8.072,69.4,1.4152e+05,2.68e+11,0.07175,0.081001,38.153,24.245,23.633,154.74,19.925,5.7226e-05,1.0845e+05
